Datetime,TotalD,GEFS,NDFD,GAVG,REAL
0,6374.999999999998,0.0,0.0,0.0,0.0
1,12749.999999999996,0.0,0.0,0.0,0.0
2,19124.999999999993,0.0,0.0,0.0,0.0
3,25499.999999999993,0.0,0.0,0.0,0.0
4,31874.999999999993,0.0,0.0,0.0,0.0
5,38249.99999999999,0.0,0.0,0.0,0.0
6,44624.99999999999,0.0,0.0,0.0,0.0
7,50999.99999999999,0.0,0.0,0.0,0.0
8,57374.99999999999,0.0,0.0,0.0,0.0
9,63749.99999999999,0.0,0.0,0.0,0.0
10,70124.99999999999,0.0,0.0,0.0,0.0
11,76499.99999999999,0.0,0.0,0.0,0.0
12,82874.99999999999,0.0,0.0,0.0,0.0
13,89249.99999999999,0.0,0.0,0.0,0.0
14,95624.99999999999,0.0,0.0,0.0,0.0
15,101999.99999999999,0.0,0.0,0.0,0.0
16,108374.99999999999,0.0,0.0,0.0,0.0
17,114749.99999999999,0.0,0.0,0.0,0.0
18,121124.99999999999,0.0,0.0,0.0,0.0
19,127499.99999999999,0.0,0.0,0.0,0.0
20,133874.99999999997,0.0,0.0,0.0,0.0
21,140249.99999999997,0.0,0.0,0.0,0.0
22,146624.99999999997,0.0,0.0,0.0,0.0
23,152999.99999999997,0.0,0.0,0.0,0.0
24,159374.99999999997,0.0,0.0,0.0,0.0
25,165749.99999999997,0.0,0.0,0.0,691.8088368385899
26,172124.99999999997,0.0,0.0,0.0,2044.9603931385327
27,178499.99999999997,0.0,0.0,0.0,3480.816827697235
28,184874.99999999997,0.0,0.0,0.0,4294.1294729766805
29,191249.99999999997,0.0,0.0,109.04287303416511,5869.330398851879
30,197624.99999999997,0.0,0.0,109.04287303416511,6875.759244208024
31,203999.99999999997,0.0,0.0,109.04287303416511,8333.604940805842
32,210374.99999999997,0.0,0.0,109.04287303416511,9783.60165367496
33,216749.99999999997,0.0,0.0,109.04287303416511,12429.245696532886
34,223124.99999999997,0.0,0.0,109.04287303416511,13055.072175154795
35,229499.99999999997,0.0,0.0,109.04287303416511,13836.39215386671
36,235874.99999999997,0.0,0.0,199.46534761759955,14928.590696572017
37,242249.99999999997,0.0,0.0,199.46534761759955,16594.282593557655
38,248624.99999999997,0.0,0.0,199.46534761759955,17914.766917073946
39,254999.99999999997,0.0,0.0,199.46534761759955,18420.939385787504
40,261374.99999999997,0.0,0.0,199.46534761759955,20697.909375065195
41,267749.99999999994,0.0,0.0,199.46534761759955,21472.46938868331
42,274124.99999999994,0.0,0.0,199.46534761759955,23895.308667549405
43,280499.99999999994,0.0,0.0,199.46534761759955,24738.33415846675
44,286874.99999999994,0.0,0.0,199.46534761759955,26174.32663719823
45,293249.99999999994,0.0,0.0,199.46534761759955,27136.02588820198
46,299624.99999999994,0.0,0.0,199.46534761759955,27263.15999922874
47,305999.99999999994,0.0,0.0,199.46534761759955,27404.549809905657
48,312374.99999999994,977.1494118383667,0.0,199.46534761759955,28941.845636032085
49,318749.99999999994,4619.585782376283,0.0,3841.9017181555155,31989.510520865108
50,325124.99999999994,8262.022152914198,0.0,7484.338088693432,35037.17540569813
51,331499.99999999994,11904.458523452115,0.0,11126.774459231348,38084.84029053115
52,337874.99999999994,15546.894893990031,0.0,14769.210829769265,41132.505175364175
53,344249.99999999994,19189.331264527947,0.0,18379.130979881575,44180.1700601972
54,350624.99999999994,22831.767635065862,0.0,22021.56735041949,47227.83494503022
55,356999.99999999994,26863.079787275674,0.0,26052.8795026293,50275.49982986324
56,363374.99999999994,30894.391939485486,0.0,30084.191654839113,53323.164714696264
57,369749.99999999994,35005.82662620442,0.0,34299.42893340425,56370.82959952929
58,376124.99999999994,39458.83413573319,0.0,38752.436442933016,59418.49448436231
59,382499.99999999994,44355.960009366485,0.0,43649.56231656631,62755.78011646975
60,388874.99999999994,49253.08588299978,0.0,48546.68819019961,66398.21648700767
61,395249.99999999994,54150.21175663308,0.0,53360.868696730824,70040.65285754559
62,401624.99999999994,59047.337630266375,0.0,57773.96401550468,73683.08922808351
63,407999.99999999994,63944.46350389967,0.0,62671.08988913798,77325.52559862143
64,414374.99999999994,68841.58937753296,0.0,67223.74193850755,80967.96196915935
